data,label
a friend of mine has a canon 20d and it is a better camera but only slightly and costs 50000 more,neutral
a friend of mine has a canon 20d and it is a better camera but only slightly and costs 50000 more,neutral
apparently canon realized theres a problem with the eos 350ds focus system because the new eos 400d rebel xti comes with a different sensor its the same highly accurate ninepoint diamond shaped focus sensor thats found on the considerably more expensive professional grade eos 30d,negative
bought this camera after reviewing it against the nikon d50,negative
br i would have to say lack of spot metering does give the nikon d70 an advantage but this camera does have a center metering mode with exposure lock so it is not really a showstopper,positive
br the canon came out on top in all catergories with the exception of a few at the time such as price because of the nikon d50 though the rebels other features clearly outway the nikon,positive
canon 30d and 40d are way sexier might upgrade later after i build a nice lens collection,positive
eventhough i love my old digital rebel with upgraded firmware i think i want to add this to my canon collection rather than 20d,positive
i am a professional photographer and i own a canon 20d as well,positive
i didnt see the need to go up to the xti nikon d40x nikon d80 because at 8 mp you can pretty much blow the xt pictures up to poster size and not really see huge loss in detail,negative
i now primarily use a nikon d90 which is mind blowing for its price but i would still never get rid of my d50,neutral
i owned the 60 mp canon eos rebel 300d which was canons first digital slr for several years until an internal mirror latch broke and for just a little more than it would have cost to fix i purchased refurbished the next model up which is the 350d or eos rebel xt,negative
i though about upgrating to a different camera xti 30d nikon d40x even nikon d200 but really have no need for it it would almost be a waste for my needs and in my case money is almost no matter how ever i could just not justify purchasing something else,negative
i though about upgrating to a different camera xti 30d nikon d40x even nikon d200 but really have no need for it it would almost be a waste for my needs and in my case money is almost no matter how ever i could just not justify purchasing something else,negative
if money were no object id say buy the canon eos 20d,neutral
my family loves nikon and during my search for a digital camera it was difficult passing over the nikon d70 but only initially,negative
of course some very real differences between the eos digital rebel xt digital camera and the more advanced eos 20d,positive
of this camera is lower than the counterpart of other brands ie nikon d70s therefore it is not so suprise about the problems i mentions above,negative
of this camera is lower than the counterpart of other brands ie nikon d70s therefore it is not so suprise about the problems i mentions above,negative
other canon cameras i own include the canon eos 10s the eos rebel g2 the eos elan 7 the eos rebel digital 63 mp and now the eos rebel digital xt,positive
the canon is heavy and the lenses are much larger in diameter as opposed to the nikon with the d50 its lightweight and the lenses are a petite size which will not make you feel like you are holding and extremely large unecessarily bulky camera,neutral
the jpeg pictures i didnt try raw looked excellent on the sony lcd screen on par with the more expensive eos 20d dslr,neutral
the new canon eos digital rebel xt offers many of the same exposure features and improvements as the 10d but slightly scaled back to keep costs under control,neutral
the new canon eos digital rebel xt offers many of the same exposure features and improvements as the 10d but slightly scaled back to keep costs under control,neutral
the nikon d40 was also in the running but because i had friends and other family with this canon xt i thought i could get more help if i ran into trouble with it,neutral
the nikon d40 was also in the running but because i had friends and other family with this canon xt i thought i could get more help if i ran into trouble with it,neutral
this camera is one of the smallest sized dslrsfeels good in hands compared to nikon d70s etc,positive
to 40d right before 50d was announced thanks alot canon af is so much better on the 40d,positive
tried olympus evolt e500 and the auto white balance on it was worse,negative
was very impressed with the 20d but the price difference could easily give me a very good lense and the feature differences are minor so rebel xt it is i am a photography enthuiast who wishes he had the budget for a canon 1d markii but instead have the budget of a mortal and have to pay for a personal camera out of his own pocket,positive
