review,sentiment
"Mukhsin is a beautiful movie about a first love story. Everyone probably has one, and this is writer-director Yasmin Ahmad's story of hers, with a boy called Mukhsin. We know that her movies have been semi-autobiographical of sorts, having scenes drawn upon her personal experiences, and it is indeed this sharing and translating of these emotions to the big screen, that has her films always exude a warm sincerity and honesty. Mukhsin is no different, and probably the most polished ad confident work to date (though I must add, as a personal bias, that Sepet still has a special place in my heart).Our favourite family is back - Pak Atan, Mak Inom, Orked and Kak Yam, though this time, we go back to when Orked is age 10. The characters are all younger from the movies we've journeyed with them, from Rabun to Gubra, and here, Sharifah Amani's sisters Sharifah Aryana and Sharifah Aleya take on the roles of Orked and Mak Inom respectively, which perhaps accounted for their excellent chemistry together on screen, nevermind that their not playing sibling roles. The only constant it seems is Kak Yam, played by Adibah Noor, and even Pak Atan has hair on his head! Through Mukshin the movie, we come full circle with the characters, and the world that Yasmin has introduced us to. We come to learn of and understand the family a little bit more, set in the days when they're still living in their kampung (revisited back in Rabun), where Orked attends a Chinese school, and packs some serious combination of punches (and you wonder about that burst of energy in Gubra, well, she had it in her since young!). The perennial tomboy and doted child of the family, she prefers playing with the boys in games, rather than mindless ""masak-masak"" with the girls, and favourite outings include going with the family to football matches.The arrival of a boy called Mukhsin (Mohd Syafie Naswip) to the village provides a cool peer for Orked to hang out and do stuff with - cycling through the villages, climbing trees, flying kites. And as what is desired to be explored, the crossing of that line between friendship and romance, both beautiful emotions.Mukhsin does have its cheeky moments which liven up the story, and bring about laughter, because some of the incidents, we would have experienced it ourselves, and sometimes serve as a throwback to our own recollection of childhood. In short, those scenes screamed ""fun""! We observe the life in a typical kampung, where some neighbours are very nice, while others, the nosy parkers and rumour mongers, spreading ill gossip stemming from envy. There are 2 additional family dynamics seen, one from an immediate neighbour, and the other from Mukhsin's own, both of which serve as adequate subplots, and contrast to Orked's own.As always, Yasmin's movies are filled with excellent music, and for Mukhsin, it has something special, the song ""Hujan"" as penned by her father, as well as ""Ne Me Quitte Pas"", aptly used in the movie Given that the Yasmin's movies to date have been centred around the same characters, the beauty of it is that you can watch them as stand alone, or when watched and pieced together, makes a compelling family drama dealing with separate themes and universal issues like interracial romance, love, and forgiveness. Fans will definitely see the many links in Mukhsin back to the earlier movies, while new audiences will surely be curious to find out certain whys and significance of recurring characters or events, like that pudgy boy who steals glances at Orked.And speaking of whys, parts of Mukhsin too is curiously open, which probably is distinctive of Yasmin's style, or deliberately left as such. I thought that as a story about childhood, recollected from memory, then there are details which will be left out for sure. And subtly, I felt that Mukhsin exhibited this perfectly, with not so detailed details, and the focus on what can be remembered in significant episodes between the two.Another highly recommended movie, and a rare one that I feel is suitable for all ages - bring along your kid brother or sister!",positive
"Synopsis Correction: The ending does not show Ben cruising online for guys. He is looking up Arabic Language courses at The Presido Military Acadamy in San Francisco. Perhaps to Join the War in Iraq as a translator, (FYI- many of the dishonorable discharges from ""D'ont ask D'ont tell have been Translators (they are now it major short supply) Ben Also spoke Russian. This movie is a good time capsule of life in Manhatten but quite a bit of non reality here. Mostly a good laugh at Lame social skills and the sad portrayal of ""Grown up"" twenty somethings not developing beyond the college party mode. Also a brief study of the always changing scene in Manhatten.(somehow it Always stays close to the edge of the same B.S.)Watch together the films ""Englishman in New York"""" and the ""The New Twenty"" Both good for Nostalgia. I think the movie ""twenty"" shows how far the blur between gay and straight as evolved.These two films are GAY Time Travel For Sure!!!!ENJOY",negative
"Cradle of FearThis isn't a movie where intricate delicate little narrative nuances occupy our attention. This is not a film where the special effects are supposed to leave us slack-jacked uttering that sense of whoa. What it is though is a slice of lo-fi goth horror which leaves little to the imagination, created in the eyes of the director, Alex Chandon, as ""a throwback to sleazy '70s and '80s horror"".This is a very visceral experience for 2 hours, where four plot lines are connected through lots of watery blood, reams of dismembered body parts and innards, tied by an intestinal thread of revenge. The purveyor of such horrific violence is Dani Filth, lead-singer of the metal band Cradle of Filth, executing a role he was destined to play. As other's have said, there is nothing new about wanting to carryout occultist revenge. In this particular context a convicted sexual predator and murderer, Kemper, the father of our devilish avenging-angel, compels his son to exact retribution on those who are some how connected to convicting him to purgatory within an insane asylum.What this provides for the Chandon, who should be congratulated on also penning and editing this piece, is the opportunity to let his sick mind run free. He seems to take delight in the idea of splattering blood into the orifices of those on screen, and into every nook and cranny that can be reached. We are also treated to close-ups of skull's being crushed, demonic rape, and other assorted imagery to engage those who relish getting up close and personal to their horror. And for some of those who closely follow these type of films, there is the odd sequence which may have you thinking, ""Did I just see what I thought I did"", because of course Pretty Woman this 'aint. It reminds me of some of the gore-fests created out of Italian horror some 20 to 30 years ago, and a number of other works where disgusting images have left their mark but not the context in which they were viewed.Story 4 of the set is particularly intriguing where the idea of ones obsession can ultimately lead to death in the pursuit of internet violence through the ""Sick Room"", where the user is in control of how a life can be snuffed out. Further acknowledgements should also go out to a pounding soundtrack that allows Filth to exercise his daytime talent, and an effective use of drum and bass, often overlooked in film-making as a viable form of supporting visuals. Using the city of London as a backdrop with real people as opposed to movie stand-ins also adds support to the commando feel of the film. OK, classic it may not be, but blood, guts, intestines, occult and demons in a slightly perverse unproblematic way it is.",negative
"There seems to have been some money behind this film, but it would be impossible to imagine a film this badly planned and executed if I hadn't actually started watching it.To begin with, once we are in the cavern with the characters (the usual young adult stereotypes we've been meeting in horror films since the early '80s), the film is shot almost entirely in close-up. Since the actors are wearing helmet lights, this means all we see are glaring lights alternating with utter darkness - we never get to see what the characters see; so when they shout out ""Look there!"" we are left to beg ""What?! Where?!"". Ultimately the film has a nauseating, confusing strobe-light effect, with no sense to it until we get to the end.And I won't tell you what 'the end' means - but you will recognize it if you've ever seen the old early '60s Arch Hall laugh fest""Eegah!"" with Richard Kiel.But what crazy person would ever want to make a variation on a theme like ""Eegah!""'s, long remembered as one of the worst films ever made?! But that's what we have here, folks. Except that, unlike ""Eegah!"", ""The Cavern"" is not anyone's idea of goofy fun. It is unwatchable. (I ran it at x2 the normal speed, just to get it over with, hoping I would actually be able to see something by the end of the film; but when I did, it was just stupid.) This film did provide me with one satisfying moment, though; since it only cost a couple bucks, after I got it out of the DVD player, I was able to smash it with my own hands - what a relief!",negative
"I couldn't help but look at the time every 5 to 10 minutes because I found this movie a total drag. Childish humor, cheap looking sets, cheap looking effects, a plot that makes ""Legally blonde"" look like ""The Usual Suspects"" and so many coincidences that I can now officially say that Robert Rodriguez had brain surgery somewhere after 1996. The only thing he left as his trade mark are some cool camera moves, but there's where it ends. OK, so the guy decided to do something new for a change, a children's spy movie. Well if I were 12, I'd feel insulted. The best thing in this movie is the absolutely amazing Carla Gugino that just stole every scene she was in. Sadly, there weren't many. 4/10",negative
"Everyone told me this movie was downright not good, and sick etc. so I finally rented it and I was amazed . I thought the torture was gonna be much much worse, but it did get shocking near the end but that was about it. I wouldn't call it a horror movie, maybe a mystery or something under the category of Silence of the Lambs and/or Kiss the Girls. It did get stupid at times, but the rest of the movie kept me on the edge of my seat. 7/10Rated R - for strong torture, violence, language, and sexuality",positive
"Wow. So my boyfriend and I went to the movie store to rent a film. I like dumb horror movies, so I browsed the variety of terrible films they had to offer while he went off in search of Michael Moore's 'Sicko'. So then I found the worst of all of them (as I would soon find out). It looked good on the cover and the description on the back seemed decent enough. The fact that there was an IMDb quote on it as a review was proof that it would be bad in a good way. So the next night, we put it in the DVD player and from the first five minutes, we were so incredibly confused.The movie is utterly incoherent, with badly placed time-jumps from past to future that leave you asking a major 'WTF?' The plot has no sort of coherent story -- other than the vague allusion to a local myth about a murder, but this only actually comes into play in the movie in the last twenty minutes of it. So pretty much for the first hour you have this: random, confusing time jumps; incoherent plot; parents who don't age; bad acting; bad dialogue; a boy who magically changes hair colour; and a host of obnoxious characters for you to get bored with!The movie moves so slow that it's a chore to actually sit there and watch. I'd rather be scrubbing the toilets, honestly. Don't bother with it.",negative
"I like CKY and Viva La Bam, so I couldn't resist this when I saw it for £1.99 in Gamestation. It is Bam Magera's debut scripted film, penned by himself and Brandon Dicimaillo, and stars the entire CKY crew (Ryan Dunn, Raab Himself, Rake Yohn, Jenn Rivell, Don Vito etc etc). Brandon also is in charge of the artistic direction - which is one of the film's greatest merits - its quite CKYish in its colour style - but also shows progression.Basically it follows (very loosely) Ryan Dunn's break up with girlfriend Glauren (played by Jenn). Vilo (played by Bam, named after Vilo Valo by any chance?) and Falcone (Bran) play his best mates who reek havoc by doing various stunts.Its a bit like the CKY films but with a linear storyline (which is very basic indeed) and poor acting. Its strange, the usually super charsmatic gang seem to have the life sucked out of them when they know what their meant to say next.The acting and script is pretty appalling for the most part, but the second half of the film is much better than the first (90 mins is a stretch for the flick though), and there are a number of redeeming factors, such as Tony Hawk's cameo, Dicimaillo's sub plots such as 'The Futurstic Invention Awards' and 'The Diamond Bike', the soundtrack is also very strong (its not ALL cKy and HIM - in fact Bomfunk MC's steal the film in terms of its use of music). In the second half of the film the sense of fun is much more real - especially since Don Vito has a fairly prominent role in the latter part - and he seems to steal every scene he is in.The film will appeal to those who like the CKY antics, but only because of the core material and not the filler or story line bullshit. Oh, and will someone tell Bam that skating montages, especially in films, is sooo 1998.However, the best part of the package on the DVD is not the film - but the 40 mins 'Making Of' doc.The last 20 minutes of the documentary deal with Raab Himself's alcholism and the crew's real feelings towards each other amazing candidly (as usual Bam comes across as a bit of a dick, especially towards Raab's drink problem and Ryan Dunn comes across as a really nice down to earth guy). The last ten mins of the documentary deal with a friend (who is an infrequent CKY member) trying to kick heroin whilst staying at the Magera household with the crew - and a caring unitary side of gang (espcially Ape and Ryan) really comes across - a startling gem in an otherwise dull DVD.For £1.99 I'm very satisified - although I hope Bam stays to the improvised and short skits from now on.",negative
"Police Story is arguably one of the best works by the master of action himself.Compared to other action films,Police Story makes Schwarzenegger and Stallone look like beginners.The stunt scenes are well cheorgraphed and the action scenes are superb.If New Line Cinema has any sense,they would release this in theaters.",positive
"I thought the movie ""I Do They Don't"" was fantastic. In the past I've watched Rob Estes on ""Suddenly Susan"" & ""Melrose Place"" and also Josie Bissett on ""Melrose Place"" and loved seeing them together again in ""I Do They Don't"". They have great chemistry together (I guess being married in real life helps that!) - in the movie they are both widowed with children and careers and they fall in love and try blend their already busy chaotic families together without dropping the ball. Of course they stumble, but they keep it together which is what working and raising a family is all about. So many people have been talking about this movie - all good! - and the movie left us wanting more. This would make a great series - appealing to many ages! - it would be so nice to see a real life, down to earth, family show like this that portrays the reality of so many of our lives today - instead of the so called ""Reality TV"" that all the stations are overwhelming us with these days. Someone tell the people at ABC Family they have the start of a new series here!",positive
"I starred as Eugene Morris Jerome in my high school adaptation of the play and this film definitely doesn't live up to the script or the imagination of Neil Simon. I know this play backwards and forwards and I can honestly tell you that the acting was off, The production was cheesy. The changes in the play's script were poorly done. If you want to really enjoy this play you should see the actual play, not a Hollywood movie adaptation. The Eugene character lacked soul and was overly sarcastic in all he said. The other characters were off key as well. A general disappointment, messy, disloyal to the play, amateurishly executed!",negative
"Picture the scene: a mountainous alien landscape. Twin moons illuminate the blood red sky. The Tardis lands, and out steps the Doctor, a middle-aged man in a Victorian frock coat, and Rose, his companion from Earth. A flicker of recognition crosses his face. ""Well, I never! Its the planet Saurious-7. Where I fought the warlike Kraggartians. They tried to use giant Skinkons to take over the planet."". The girl sniffs the air. ""Can't we go, Doctor. I don't like the look of this place. I keep thinking we're being watched."". The Doctor wags a disapproving finger. ""Don't be silly, girl. I wonder if the King and Queen of Cordaraby City remember me from my last visit. Come along, Rose, come along!"". He strides off, the girl struggles to keep up. High on a hill, sinister red eyes regard them with hatred... That was not how 'Rose' began back in 2005, and thank heavens for that say I. Unfairly derided at the time of its original U.K. broadcast, 'Rose' can now safely be regarded as a landmark episode, putting 'Dr.Who' back where it belonged, as one of the B.B.C.'s flagship programmes. The mistakes made by the McGann T.V. movie were well learnt. Instead of trying to shoehorn the new 'Who' into existing chronology, it represented a fresh start for the series, beginning with shop girl Rose Tyler ( Billie Piper ) going about her daily routine. One day she goes to the basement to find a man named Wilson, and then the trouble begins. Mannequins come to life and attack her. It is only through the intervention of a mysterious stranger ( Christopher Eccleston ) that she is saved. The story, slight though it may be, is more than adequate as a starting-point for the series. The Autons are, of course, an old villain ( this was their first appearance since 1971 ), but no references are made to their past appearances - another wise move. The finale effectively recreated the famous scene in 'Spearhead From Space' when shop window dummies sprang to life. As the Doctor, Christopher Eccleston lacked the eccentricity of his predecessors, preferring a modern leather jacket to the Doctor's traditional period clothes, but this made him more accessible to the show's hoped-for new audience. Billie Piper confounded her critics by making a big impression as 'Rose'. Also good was Noel Clarke as her boyfriend 'Mickey'.Yes, there was an added emphasis on special effects, but then there needed to be - the wobbly sets and unconvincing monsters of the past have no place on 21st century television. What is more important is how good a script this is. Ten million people tuned in to see the new Doctor.'Dr.Who' was back - and back with a bang!",positive
"Oh, what fun there is here! Amy Heckerling has a flair for directing comedy (Fast Times at Ridgemont High, Look Who's Talking) but here it looks like she told the actors to go out and have fun. Micheal Keaton breezes through the role of Johnny, easily his best screen performance. Joe Piscopo is great as the appropriately named Danny Vermin, what a shame directors didn't pick up on this. And I have even mentioned Richard Dimitri playing Moronie and the character's unique vocabulary. I don't think it's an accident that the bulk of the character's name is spelled MORON.Good lines are sprinkled throughout the movie, with Peter Boyle, Griffit Dunne.Maurren Stapleton, Merilu Henner given good lines. Even actors with minor roles like Dick Butkus and Alan Hale get in a good lines.recommend it to a friend.",positive
"A real sudsy soap opera here as Spencer Tracy tackles the role of an illiterate until the age of 20. He marries the woman who teaches him and her ambition and his drive leads him to success.Success but no happiness here. A n'eer-do-well son and a faltering marriage leads to disaster and tragedy. Tracy buys a railroad and succeeds only to be subjected to a disastrous rail strike and the death of 406 workers.The film appeared at the beginning to be uneven but is rejuvenated thanks to the excellent use of flashbacks here.A double separate suicide here. We know that riches can't buy happiness but this is a little too far fetched. Nonetheless, we have riveting performances by Tracy and Colleen Moore. Ms. Vinson, as the 2nd wife, is also quite effective.",positive
"And so it started with ""Shreik"" a send up of horror films, then we had Scary Movie, a genuinely good attempt at a new kind of genre, the illustrious send up. however....now we have: Scary Movie* Scary Movie 2 Scary Movie 3 Scary Movie 4* Date Movie Meet The Spartans Not Another Team movie* plus many more (genuinely funny movies marked with *)and.....Super hero movie.... it seems the people that make these movies cannot yet grasp what makes the send-ups funny. using the rip-offs from other movies in a funny way is all well and good if done properly, but not many producers seem to know how to do that. Scary movie(1) did it well, the following sequels were then horrendous as the tried to over play the franchise, but it was redeemed by Scary Movie 4. Not another teen movie was good because it used the spoofs well...and to its credit i am sick of teen movies. however, this movie plays like a bad version of all of these. it relies on slap stick the would make even the 3 stooges cringe, violating the image of Stephen hawking, and then when people begin to get bored (and the producers knew when this would be) we are treated to Pamela Anderson in a skin tight suit. to conclude, spoofs should be about making a homage-like mock-up of an original movie with an original storyline, not plastering random take offs of legitimate film onto the storyline of a real film. ...i shudder at the thought of ""SCI-FI MOVIE"" and get my seppuku knife ready",negative
"****MINOR SPOILERS*** As a bad movie connoisseur I must have viewed hundreds of bad movies and yet ""Hobgoblins"" stands apart from all others in it's own unique way. Classic baddies such as ""The Creeping Terror,"" ""The Mighty Gorga"" and ""Manos"" are uniformly bad from start to finish. ""Hobgoblins"" on the other hand, starts off bad and gets progressively worse as it goes. During my first viewing of the infamous rake fight scene I thought to myself that this was a truly bad film. I was blissfully unaware that I had just seen the best that this movie had to offer. The movie takes its most massive nosedive into celluloid hell during the painfully inept ""Club Scum"" sequence which is a continuous string of one unfunny joke after another. With just this one film, director Rick Sloane proves that he deserves mention alongside the likes of Coleman Francis and Bill Rebane as one of the worst directors of all time. How bad can a bad movie be? Watch ""Hobgoblins"" and wonder no longer.",negative
"I have always been a fan of this largely unseen filming of the Gershwin opera, since I last saw it in 1959. As many of you know, it has been unavailable on video or DVD; in fact, the Gershwin family sought to destroy all existing prints.Yet, for some reason--hopefully signaling an end to its opposition, the Gershwin family recently approved the showing of a collector's print at the Museum of the Moving Image in Astoria, Queens. .Well, the wide-screen, Technicolor print was excellent! (Not perfect, but excellent.) The sound was outstanding, in road-show quality stereo. The folks who saw this in its original release wouldn't have seen a much better copy. (The program notes include the original Variety review, which cautions that people might balk at the steep limited-release ticket price of $3.50!)And, as much as I loved it originally, PORGY AND BESS was better than I remembered it. It's just wonderful. Sidney Poitier as Porgy was at the point where his career was just beginning to catch fire, and his charisma shines through. Dorothy Dandridge as Bess is spectacularly beautiful. Brock Peters as Crown is aggressively masculine. Pearl Bailey as Maria provides a few comic moments, although her role is small. And Sammy Davis, Jr., as Sporting Life, steals every scene he's in; he's especially riveting in his two big numbers: ""It Ain't Necessarily So"" and ""There's a Boat that's Leavin' Soon for New York."" (That last one won applause in the screening I saw.)PORGY AND BESS is set-bound, but it really doesn't matter when the set is as gorgeous as this one. The costumes are also outstanding.Sidney and Dorothy's singing voices are dubbed in, but they are dubbed in extremely well. The exquisite ""Summertime"" is sung by Clara, played by a young Diahann Carroll; her singing also is dubbed. (Actually, only Pearl and Sammy do their own vocalizing.)The music is sublime, of course, but what really struck me this time was how much emotion Preminger got out of the story. People were actually sniffling in the audience a number of times--once when Bess sings that beautiful ""I Loves You Porgy."" And I got a kick out of the audience actually laughing out loud at the lines in ""It Ain't Necessarily So."" Could it be they had never heard this song before-- or never really listened to it? I believe that much of the emotional impact of this film is due to Poiter and Dandridge's performances--you root for their love to win out.A minor quibble with the 136 minute running time--one or two slow spot, and a stereotypical, Amos-n-Andy kind of scene about Bess seeing a shyster lawyer to get a divorce from Crown, even though she's not even married to him. (I would have cut that.) And the beginning is a little confusing--both title characters are introduced awkwardly--they're part of the movie before you realize who they are.And I don't think Preminger used a single close-up in the entire movie. It all seems to be shot in 3/4, which I'm guessing was his way of working with the wide screen.PORGY AND BESS has always been a cult film for those of us who saw it, for those of us who loved the soundtrack, and for some of us who have only heard about it. Let's hope they find a way to re-release this, and put it out on DVD. It deserves the widest audience possible.",positive
