spokesperson,question,answer
Karoline Leavitt,Good afternoon.,How are we today?
Karoline Leavitt,Good.,"Good.During his inaugural address, President Trump promised that America would be a manufacturing nation once again, and liberal pundits mocked him for it, but those critics were proven wrong once again. On the heels of President Trump's Oval Office meeting with Apple CEO Tim Cook last week, Apple just announced its largest-ever commitment to American jobs in industry with plans to spend and invest more than $500 billion in America over the next four years.Over the course of the current Trump administration, Apple plans to hire around 20,000 new workers, creating high-paying jobs right here in America. And the investment isn't limited to one specific region of our country. Apple teams and facilities will expand all over our country: in Arizona, California, Iowa, Nevada, North Carolina, Michigan, Oregon, Texas, and Washington. With President Trump in charge, America is open for business.Apple CEO Tim Cook said it best in the company's announcement, We are bullish on the future of American innovation.On top of this incredible Apple announcement, President Trump already announced more than $1 trillion in pledged investments into the United States.And on another important note that the American people entrusted President Trump to fulfill, this administration's efforts to seal the border continue to prove extraordinarily successful.In President Trump's first month back in office alone, illegal border crossings hit lows not seen in decades, down 94 percent over the past year, while interior arrests are up 134 percent.And this past Saturday -- this is a significant statistic that I wanted to share with all of you -- there were only 220 illegal border crossings on Saturday. This is a 15-year low. Think about that in comparison to the amount of illegal border crossings we saw under the previous administration.Fox recently reported that a San Diego migrant shelter is closing its doors after saying they have not received new asylum-seeking families or individuals since January 20th. We all know what happened on January 20th, don't we?And yesterday, New York City Mayor Eric Adams announced that the massive Roosevelt Hotel migrant shelter in Manhattan will shut down in the next few months.We're also seeing a reverse migration effect. There are now verified reports from the Associated Press of migrants abandoning their journey to the United States and heading back home. This is the first time the Border Patrol has received these reports since 2020, during President Trump's first term. The returning migrants claimed in interviews that the new heavy security posture adopted by the Trump administration was a significant reason for their decision to return to the countries of their origin.Overall, the American people continue to overwhelmingly give President Trump very positive marks. Nearly every one of President Trump's policy initiatives are receiving strong majority support, and I have noted that in every briefing since Inauguration Day.81 percent of Americans support deporting illegal migrant criminals from our nation's interior.76 percent of Americans support the DOGE-led efforts of a full-scale investigation to find and eliminate fraud and waste in government expenditures.Again, this is from a Harvard/Harris poll, a very legitimate pollster.76 percent of Americans support closing the border.69 percent of Americans support President Trump's commonsense efforts to ban men from women's sports. As you all know, we celebrated that executive order at the White House a couple of weeks ago.65 percent of Americans support the president's efforts to eliminate all preferences by race in the hiring and awarding of government contracts, which is another pledge that DOGE is working hard to fulfill.And 61 percent of Americans -- the vast majority -- support the president's plan for reciprocal tariffs to ensure that other countries are treating us the way we have always been treated.Despite what many Democrats and media members want you to believe, the Trump agenda is not only necessary, but it is overwhelmingly popular. Why? Because it's driven by common sense.And finally, as you all saw yesterday, a federal judge denied the Associated Press's emergency motion for a temporary restraining order against myself; our deputy chief of staff, Taylor Budowich; and our chief of staff, Susie Wiles, for our decision to remove the Associated Press from the White House press pool for certain and special events.The judge's ruling upholding our decision to deny the Associated Press such privileged access reinforces the truth, and it reiterates what I said from this podium last week when that suit was filed: asking the president of the United States questions in limited spaces, such as the Oval Office and Air Force One, is a privilege that unfortunately has only been granted to a few. It is not a legal right for all.The Trump Administration has already proven to be the most transparent ever and this president the most accessible in history. This is evidenced by President Trump's daily press conferences in the Oval Office, where he takes many questions from the journalists who have the honor and privilege of standing before the beautiful Resolute Desk.The president and this entire White House are committed to ensuring the American people continue to receive this same level of historic transparency, access, and visibility.In fact, we want to double down and give even greater access to the American people. We want more outlets and new outlets to have a chance to take part in the press pool, to cover this administration's unprecedented achievements up close, front and center.As you all know, for decades, a group of D.C.-based journalists, the White House Correspondents' Association, has long dictated which journalists get to ask questions of the president of the United States in these most intimate spaces. Not anymore.I am proud to announce that we are going to give the power back to the people who read your papers, who watch your television shows, and who listen to your radio stations.Moving forward, the White House press pool will be determined by the White House press team. Legacy outlets who have participated in the press pool for decades will still be allowed to join, fear not, but we will also be offering the privilege to well-deserving outlets who have never been allowed to share in this awesome responsibility.Just like we added a new media seat in this briefing room, legacy media outlets who have been here for years will still participate in the pool, but new voices are going to be welcomed in as well.As part of these changes, we will continue the rotation amongst the five major television networks to ensure the president's remarks are heard far and wide around this world. We will add additional streaming services, which reach different audiences than traditional cable and broadcast. This is the ever-changing landscape of the media in the United States today.We will continue to rotate a print pooler who has the great responsibility of quickly transcribing the president's remarks and disseminating them to the rest of the world. And we will add outlets to the print pool rotation who have long been denied the privilege to partake in this experience but are committed to covering this White House beat.We will continue to rotate a radio pooler and add other radio hosts who have been denied access, especially local radio hosts who serve as the heartbeat of our country.And we will add additional outlets and reporters who are well suited to cover the news of the day and ask substantive questions of the president of the United States, depending on the news he is making on that given day.This administration is shaking up Washington in more ways than one. That's what we were elected to do. As I have said since the first day behind this podium, it's beyond time that the White House press operation reflects the media habits of the American people in 2025, not 1925.A select group of D.C.-based journalists should no longer have a monopoly over the privilege of press access at the White House. All journalists, outlets, and voices deserve a seat at this highly coveted table.So, by deciding which outlets make up the limited press pool on a day-to-day basis, the White House will be restoring power back to the American people, who President Trump was elected to serve.So, in that note, in our new media seat today, we have Shelby Talcott, who is a White House reporter for Semafor. In 2022, Semafor launched as a global digital news platform with the aim of bringing meaningful innovations to the news industry. Today, they have nearly 1 million newsletter subscribers, spanning 11 separate editions.With that, Shelby, I will take your questions."
Karoline Leavitt,"Thanks, Karoline. I've got two for you. One on foreign policy. Over the weekend, the president's special missions envoy, Ric Grenell, was talking about Venezuela, and he said that the president isn't someone who wants regime change. Other administration officials have made clear that they don't see Maduro as the rightful leader. What is this administration's policy on a new government in Venezuela?",I think the president has made his position on Venezuela quite clear. He stands in opposition to the Maduro regime.And Secretary Rubio has spoken on this extensively as well.
Karoline Leavitt,"And then, on DOGE. Last night, Elon Musk said that a Failure to respond a second time will result in termination. Will there be additional rounds of the What did you do this week email from DOGE to federal workers? And what's the guidance on the federal workers who have been instructed by their agencies not to reply?","So, a couple of things on this. First of all, let's just take a step back and talk about this idea. The president sent out a Truth last weekend to Elon Musk saying he loves everything Elon is doing, and he wants him to be even more aggressive, because DOGE, thus far, has proven incredibly successful in making our government more efficient.And so, Elon and DOGE came up with this idea. Elon has implemented this at his private companies. It has proven successful. And it's a very simple idea, when you think about it. All the Office of Personnel Management is asking, all this administration is asking, President Trump is asking is for federal workers who live off of the American taxpayers' dime to send five bullet points of what they have done in the previous week. That is all we are asking for.And so, the Office of Personnel and Management sent out additional guidance last night. Those responses should be directed to agency leadership, and the president defers to his Cabinet secretaries, who he has obviously entrusted, to pursue the guidance relative to their specific workforce.And for some of the agencies that you've seen who have said please don't send these emails, it's in their best interest for that specific agency, and the president supports that.And let me be very clear, the president and Elon and his entire Cabinet are working as one unified team, and they are implementing these very commonsense solutions."
Karoline Leavitt,Thank you.,You're welcome.Jacqui.
Karoline Leavitt,"Thank you. One follow-up on her question. So, about the deadline, Alina Habba said that you have until tonight. Elon Musk said a Failure to respond a second time would result in termination. So, is that a real deadline? Should -- should federal workers be looking to that guidance, or should they be looking to the agency heads? Like, what is the actual deadline?","So, again, the agency heads will determine the best practices for their employees at their specific agencies.Again, this was an idea that Elon came up with. DOGE worked with OPM to actually implement the idea. And the secretaries are responsible for their specific workforce. And this is true of the hirings and the firings that have taken place.And we advise federal workers, unless your agency has dictated you not to, to respond to this email. In fact, I can announce that we've had more than 1 million workers who have chosen to participate in this very simple task of, again, sending five bullet points to your direct supervisor or manager, cc'ing OPM. I actually participated it in [it] myself. It took me about a minute and a half to think of five things I did last week. I do 5 things in about 10 minutes. And all federal workers should be working at the same pace that President Trump is working and moving.We have a country to save, and we want this federal government to be responsive to the needs of the American people who reelected this president to have historic, massive reform, and that's what the intention of this idea is."
Karoline Leavitt,"Can you clarify one thing, though, because Elon Musk also said that a reason that they wanted this five things email was just to see if people are actually alive, citing that there are some federal workers --",Yeah.
Karoline Leavitt,"-- who might not even be alive. So, meantime, NBC is reporting that these responses are going to go into an AI generator to evaluate whether these jobs are necessary. So, is it just to see if people are actually working, or is it an effort to maybe cut some of those jobs?","I have not seen that NBC News report, and I haven't heard that from DOGE or from Elon himself. Again, this is to ensure that federal workers are not ripping off American taxpayers, that they are showing up to the office, and that they are doing their jobs. That's what the American people expect, and it's a very simple task to complete.I did it myself, and I was more than happy to do it because I'm very grateful that I am serving the American people on the American taxpayers' dime."
Karoline Leavitt,"Do you think DOGE should hire a spokesperson, just so that Elon Musk doesn't put out tweets that then confuse federal workers?","Are my press briefings not good enough for you, Jacqui? (Laughter.)John."
Karoline Leavitt,"Karoline, thank you. In the -- in the ruling by Judge McFadden yesterday, who dismissed the lawsuit that AP brought against yourself and -- and your -- and your team members here and President Trump, in there, he said, Why not just do away with the entire White House Correspondents' Association along with it, because, essentially, they have no authority. They just usurped it. What is your reaction to that?","Well, first of all, John, it's great to see you."
